"n","totSpMean","TotSpSD","TotSpMin","TotSpMax","spSiteAvg","spSiteSd","spSiteMax","spSiteMin"
1,115.232323232323,2.51861754608244,108,121,37.3538961038961,6.86419872080493,55,23
2,106.222222222222,3.14141380999441,100,114,31.9632034632035,6.40794816007801,49,18
3,90.040404040404,3.44318075515018,81,96,23.5075757575758,5.12784379591865,38,11
