"samples","procrMean","procrSD","procrMin","procrMax","tau1Mean","tau1SD","tau1Min","tau1Max","tau2Mean","tau2SD","tau2Min","tau2Max"
"3",0.871998075720445,0.0580388323226528,0.781505779095549,0.99063519518474,0.900219122441345,0.0241521154020679,0.825396825396825,0.962962962962963,0.332050665383999,0.213346285829661,0.0105820105820106,0.841269841269841
"2",0.843190515740472,0.0587114983407547,0.751411114135674,0.978702192353526,0.822243600021378,0.0361622451578238,0.724867724867725,0.899470899470899,0.254235476457699,0.173576597090473,0,0.825396825396825
"1",0.772919971418183,0.0508438322759968,0.639188901260067,0.892362364368607,0.697931697931698,0.0603461103267454,0.518518518518518,0.835978835978836,0.195767195767196,0.143102885255194,0,0.666666666666667
