"Sta","Gr","Abr.alb","Abr.nit","Apo.pes","Arc.isl","Ant.ent","Ast.ell","Ast.mon","Ast.sul","Buc.und","Cau.cla","Cor.gib","Cus.cus","Cyl.alb","Dia.min","Enn.ten","Eus.mon","Hia.arc","Kur.bid","Lep.cae","Mac.cal","Mya.tru","Myt.edu","Nuc.per","Par.min","Par.ova","Phi.sca","Pse.pes","Ris_fam","Tel.fer","Thy.equ","Thy.fle","Thy.gou","Thy.sar","Amp.chi","Amp.fil","Amp.squ","Bri.lyr","Ech.cor","Ech.fla","Oph.acu.e","Oph.aff","Oph.alb","Oph.fra","Oph.oph","Oph.rob","Str.dro","Ano.gra","Ama.aur","Ama.tri","Amp.gun","Aph.acu","Bra.vil","Cha.nil","Cha.set","Cos.lon","Dip.cfc","Dip.gla","Ete.cfl","Euc.rub","Eum.san","Eun.pen","Eup.neb","Exo.ver","Fla.aff","Gal.oci","Gly.alb","Gly.lap","Gly.rou","Gon.mac","Gyp.ros","Har.cff","Het.fil","Lae.fil","Lao.cir","Mal.sar","Med.fra","Mel.cri","Mel.eli","Neo.gra","Nep.cil","Nic.zos","Oph.acu.p","Oph.fle","Orb.nor","Orb.ser","Par.eli","Par.jef","Pet.bor","Phe.fal","Phe.plu","Pho.cfa","Pho.cfi","Pho.pal","Phy.gro","Phy.ros","Pis.cri","Pis.lor","Pol.cra","Pol.med","Pol.cfn","Pra.lon","Pri.cir","Pri.fal","Pse.pau","Rho.gra","Rho.lov","Sab.oct","Sca.inf","Sco.arm","Sco.fra","Sco.cfm","Sig.fus","Sph.fla","Spi.kro","Spi.typ","Str.bai","Syl.arm","Ter.str","Tri.gla","Tri.ros","Typ.arm","Typ.cor"
7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,119,9,0,0,0,0,0,0,1
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,69,2,0,0,1,0,2,0,0
7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,0,1,0,1,0,0,0
8,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,1,2,0,0,4,0,1,0,1
8,2,0,0,0,0,0,0,6,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,3,0,0,0,0,0,0,5,0,0,0,2,2,0,0,1,0,0,0,3
8,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,6,0,0,1,1,0,0,0,0,0,5,0,0,0,17,1,0,0,0,3,0,0,2
8,4,0,1,0,0,0,0,4,0,0,2,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,2,0,0,0,0,1,0,0,0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,6,2,2,0,0,0,0,0,4,0,0,0,32,0,2,0,3,0,1,0,3
9,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,15,0,0,1,0,1,0,0,0,3,1,0,0,0,1,0,0,0,0,1,3,0,8,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,10,1,5,0,10,19,11,0,0,0,0,0,1,0,0,1,5,2,0,1,3,1,2,1,4
9,2,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,0,5,0,1,1,6,0,0,0,0,0,4,0,0,0,1,0,2,0,1,0,2,0,2
9,3,0,0,0,1,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,0,17,0,0,0,0,1,0,3,0,3,0,0,0,0,1,1,0,0,0,3,2,0,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,2,4,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,4
