"Sta","Gr","Abr.alb","Abr.nit","Apo.pes","Arc.isl","Ant.ent","Ast.ell","Ast.mon","Ast.sul","Buc.und","Cau.cla","Cor.gib","Cus.cus","Cyl.alb","Dia.min","Enn.ten","Eus.mon","Hia.arc","Kur.bid","Lep.cae","Mac.cal","Mya.tru","Myt.edu","Nuc.per","Par.min","Par.ova","Phi.sca","Pse.pes","Ris_fam","Tel.fer","Thy.equ","Thy.fle","Thy.gou","Thy.sar","Amp.chi","Amp.fil","Amp.squ","Bri.lyr","Ech.cor","Ech.fla","Oph.acu.e","Oph.aff","Oph.alb","Oph.fra","Oph.oph","Oph.rob","Str.dro","Ano.gra","Ama.aur","Ama.tri","Amp.gun","Aph.acu","Bra.vil","Cha.nil","Cha.set","Cos.lon","Dip.cfc","Dip.gla","Ete.cfl","Euc.rub","Eum.san","Eun.pen","Eup.neb","Exo.ver","Fla.aff","Gal.oci","Gly.alb","Gly.lap","Gly.rou","Gon.mac","Gyp.ros","Har.cff","Het.fil","Lae.fil","Lao.cir","Mal.sar","Med.fra","Mel.cri","Mel.eli","Neo.gra","Nep.cil","Nic.zos","Oph.acu.p","Oph.fle","Orb.nor","Orb.ser","Par.eli","Par.jef","Pet.bor","Phe.fal","Phe.plu","Pho.cfa","Pho.cfi","Pho.pal","Phy.gro","Phy.ros","Pis.cri","Pis.lor","Pol.cra","Pol.med","Pol.cfn","Pra.lon","Pri.cir","Pri.fal","Pse.pau","Rho.gra","Rho.lov","Sab.oct","Sca.inf","Sco.arm","Sco.fra","Sco.cfm","Sig.fus","Sph.fla","Spi.kro","Spi.typ","Str.bai","Syl.arm","Ter.str","Tri.gla","Tri.ros","Typ.arm","Typ.cor"
9,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,3,5,0,4,0,0,13,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,5,0,11,30,1,0,0,0,0,0,3,0,0,0,12,0,0,1,5,1,0,0,8
10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,7,0,1,1,1,0,4,0,0
10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,4,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,3,0,2,0,0,0,10,0,0,0,1,0,5,1,0,0,13,1,0,0,0,0,1,0,2
10,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,3,0,0,1,2,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,2,0,4
10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,3,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,2,0,3,0,0,3,1,0,0,0,0,0,3,0,0,0,18,0,0,1,1,0,0,0,1
11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,5,0,0,0,10,1,0,0,1,1,0,0,3
11,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,0,0,0,0,0,1
11,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,8,2,3,0,0,0,0,0,1,0,0,0,11,0,0,0,1,0,0,0,3
11,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,4,4,0,0,2,0,0,0,4
12,1,0,2,0,0,0,0,2,0,0,1,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,3,0,0,0,1
12,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,1,1,0,0,20,2,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,33,0,0,11,1,0,0,0,0,0,0,0,0,0,1,2,0,0,26,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,15,0,0,0,0,0,0,1,0,0,0,28,0,0,0,7,0,0,0,0
12,3,0,1,0,0,0,0,2,0,0,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,32,0,0,9,0,0,0,0,0,0,0,0,3,0,0,4,0,0,44,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,1,0,5,2,7,0,0,0,0,0,1,0,0,0,43,0,0,0,6,1,1,0,0
12,4,0,1,0,0,0,0,3,0,0,0,0,0,1,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,60,0,0,20,0,0,0,0,0,0,0,0,1,0,0,5,0,0,58,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,7,14,4,0,0,0,0,0,0,0,0,0,39,1,0,1,2,0,0,0,0
13,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,0,7,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,1,1,1,0,26,16,0,0,0,0,0,0,6,0,0,0,15,1,0,1,11,0,3,0,6
13,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,7,6,0,0,2,3,0,0,2
13,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,1,0,0,33,14,0,0,0,0,0,0,4,0,0,0,4,1,0,0,6,1,0,0,4
13,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,4,2,0,0,0,0,0,0,6,0,0,0,6,2,0,0,2,1,0,0,0
14,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,6,0,2,0,0,0,5,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,1,0,6
14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,2,0,1,0,0,0,6,0,0,0,0,0,4,0,0,0,2,0,0,0,3,0,0,0,5
14,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,4,0,0,0,19,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,18
14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,1,16,0,0,1,0,0,5,0,0,0,8,0,1,0,1,0,0,0,0
15,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,1
15,2,0,0,0,1,0,0,5,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,7,0,1,0,0,0,0,0,1,0,4,0,1,0,4,0,0,1,0,0,0,0,1
15,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,14,4,0,0,0,0,0,0,0
15,4,0,0,0,0,0,2,7,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,3,0,0,1,0,0,0,0,0,0,4,0,0,0,16,1,0,0,0,0,0,0,0
